latitude,longitude,calculated_host_listings_count,room_type_factor,price
40.67101,-73.94543,2.0,0.0,70
40.69401,-73.90578,2.0,0.0,40
40.79367,-73.97073,2.0,0.0,150
40.64294,-73.96016,1.0,1.0,110
40.72522,-73.94022,1.0,0.0,50
40.67081,-73.95761,1.0,0.0,96
40.7142,-73.99119,1.0,1.0,250
40.76043,-73.97075,2.0,0.0,150
40.71434,-73.99342,1.0,0.0,80
40.64478,-74.01318,1.0,0.0,45
40.73879,-74.00425,1.0,1.0,200
40.7281,-73.98354,1.0,1.0,219
40.65772,-73.96131,1.0,1.0,93
40.84687,-73.94004,1.0,0.0,110
40.60644,-73.99135,1.0,1.0,88
40.73754,-73.98741,87.0,1.0,225
40.68908,-73.9678,1.0,0.0,65
